Query Name,Execution Time (s)
Query 1,0.022812366485595703
Query 2,0.32068896293640137
Query 3,0.3680126667022705
Query 4,0.10315442085266113
Query 5,0.11509084701538086
Query 6,0.4559972286224365
Query 7,0.019054412841796875
Query 8,0.018500804901123047
Query 9,0.11805438995361328
Query 10,0.018883228302001953
Query 11,0.23036408424377441
